CVCV
VCV
CV
CVCCV
VCCV
CCV
CCVCV
#CV
VCVCV
CVV
VV
VCVV
CVCVV
CVVCV
VVCV
#V
CCVV
VCCVV
#VCCV
CCCV
VCCCV
VVCCV
#VCV
#CCCV
#CCV
#CVCV
#CVV
V
C
VCVC
CCCCV
CCCVV
VC
CVC
CVCVC
VVCVV
#VCVV
XV
#CCC
CCC
#CCVV
#C
#XV
#CVC
CYCCV
YCCV
#VCVC
#VV
CCYCV
CYCV
YCV
#CY
CY
Y
YCCCV
VCCXV
CCXV
CXV
#YV
YV
