CV
CV#
CVC
CVC#
CVCV
CVCVC
CVCC
CVCCV
CC
CCV
CCVC
CCVCV
CCVCC
C#
CVCCC
CVCV#
CCVC#
CCV#
CVCC#
CVCVV
CCCV
CCCV#
CCC
CVV
CVVC
CCCC
CY
CCC#
CCCCV
CVVCV
CYC
CCCVC
CVVCC
CYX
CYXV
CYXVV
CYCC
CYCCC
CCVV
CCVVC
